type,name,pruned_on,sparsity,module,mean,std,min,max
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.embed_tokens,0.0000,0.0101,-0.0454,0.0488
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.input_layernorm,0.0011,0.1328,-2.0059,1.7422
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.self_attn.q_proj,-0.0277,1.2154,-9.9375,7.8047
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.self_attn.k_proj,0.0092,1.4650,-10.1875,8.5000
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.self_attn.v_proj,0.0004,0.0406,-0.3115,0.4197
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.self_attn.o_proj,0.0001,0.0100,-0.3015,0.1423
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.post_attention_layernorm,0.0014,0.1255,-0.8052,1.4951
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.mlp.gate_proj,-0.0253,0.1475,-3.0508,1.5615
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.mlp.up_proj,0.0001,0.1119,-1.8564,0.9492
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.mlp.down_proj,-0.0000,0.0337,-2.0957,1.3232
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.input_layernorm,-0.0024,0.1899,-5.8789,3.4570
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.self_attn.q_proj,0.0093,1.1950,-7.2031,8.0312
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.self_attn.k_proj,0.0557,1.8811,-8.0156,13.5547
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.self_attn.v_proj,-0.0000,0.0486,-0.3401,2.1797
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.self_attn.o_proj,0.0001,0.0264,-0.6914,1.1064
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.post_attention_layernorm,0.0007,0.1430,-2.4648,2.6484
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.mlp.gate_proj,-0.0435,0.1557,-9.6172,17.7656
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.mlp.up_proj,-0.0001,0.1375,-24.2656,1.8076
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.mlp.down_proj,-0.0079,2.4080,-271.0000,296.5000
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.input_layernorm,0.0022,0.3625,-5.8789,5.8867
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.self_attn.q_proj,-0.0465,1.1499,-7.5430,7.0938
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.self_attn.k_proj,-0.0196,1.7688,-12.3672,12.2891
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.self_attn.v_proj,0.0025,0.1357,-1.0859,1.2783
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.self_attn.o_proj,0.0000,0.0097,-0.1587,0.2595
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.post_attention_layernorm,-0.0007,0.1744,-5.6992,5.2070
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.mlp.gate_proj,-0.0266,0.1563,-2.0957,2.1953
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.mlp.up_proj,-0.0001,0.1299,-0.9292,1.1191
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.mlp.down_proj,-0.0002,0.0185,-0.2269,0.3113
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.input_layernorm,-0.0020,0.3305,-4.5977,3.8262
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.self_attn.q_proj,-0.0240,1.1184,-10.9609,6.9531
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.self_attn.k_proj,-0.0140,1.7729,-14.6797,15.3281
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.self_attn.v_proj,-0.0016,0.1790,-1.3965,1.3965
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.self_attn.o_proj,-0.0001,0.0106,-0.0746,0.2522
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.post_attention_layernorm,-0.0024,0.2011,-6.7070,6.7617
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.mlp.gate_proj,-0.0580,0.1907,-2.2344,2.5801
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.mlp.up_proj,-0.0007,0.1517,-1.3369,1.4316
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.mlp.down_proj,-0.0000,0.0229,-0.1741,0.4482
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.input_layernorm,-0.0024,0.3283,-4.5000,4.3945
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.self_attn.q_proj,-0.0008,1.0984,-8.8359,8.0312
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.self_attn.k_proj,-0.0278,1.8027,-15.0078,10.9141
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.self_attn.v_proj,0.0014,0.1828,-1.2197,1.1416
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.self_attn.o_proj,-0.0000,0.0179,-0.1394,0.1650
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.post_attention_layernorm,-0.0024,0.2273,-7.1602,8.4766
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.mlp.gate_proj,-0.1335,0.2413,-2.5762,1.6758
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.mlp.up_proj,-0.0015,0.1714,-1.5879,1.5625
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.mlp.down_proj,-0.0002,0.0313,-0.1697,0.5073
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.input_layernorm,-0.0034,0.3921,-6.0820,6.1328
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.self_attn.q_proj,-0.0503,1.0788,-7.6953,9.0625
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.self_attn.k_proj,-0.0010,1.8424,-10.6797,12.7109
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.self_attn.v_proj,0.0017,0.1836,-1.2168,1.6475
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.self_attn.o_proj,-0.0003,0.0212,-0.1611,0.1969
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.post_attention_layernorm,-0.0044,0.2442,-7.9453,8.9297
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.mlp.gate_proj,-0.1623,0.2641,-3.2051,1.7666
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.mlp.up_proj,-0.0007,0.1877,-1.9746,2.6562
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.mlp.down_proj,-0.0001,0.0374,-0.2175,0.5239
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.input_layernorm,-0.0058,0.3699,-4.7891,4.7227
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.self_attn.q_proj,-0.0124,1.0278,-9.1172,6.9258
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.self_attn.k_proj,0.0009,1.8045,-12.9141,13.2891
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.self_attn.v_proj,-0.0006,0.1842,-1.2080,1.1904
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.self_attn.o_proj,0.0006,0.0215,-0.2451,0.3035
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.post_attention_layernorm,-0.0022,0.2555,-8.9766,9.9453
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.mlp.gate_proj,-0.1935,0.2858,-3.6055,2.2266
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.mlp.up_proj,-0.0005,0.1962,-1.9941,3.2793
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.mlp.down_proj,-0.0004,0.0416,-0.3625,0.5996
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.input_layernorm,-0.0048,0.3759,-5.5312,4.7578
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.self_attn.q_proj,0.0290,1.0183,-7.1992,7.9766
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.self_attn.k_proj,-0.0214,1.8227,-14.7188,10.7422
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.self_attn.v_proj,-0.0008,0.1994,-1.3496,1.4824
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.self_attn.o_proj,0.0001,0.0306,-0.2415,0.3699
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.post_attention_layernorm,-0.0026,0.2580,-8.8281,9.5391
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.mlp.gate_proj,-0.1919,0.2925,-2.7812,2.5977
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.mlp.up_proj,0.0005,0.2100,-1.5430,3.0488
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.mlp.down_proj,-0.0002,0.0442,-0.4214,0.8569
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.input_layernorm,-0.0056,0.4140,-6.1523,5.8281
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.self_attn.q_proj,-0.0070,0.9404,-7.9766,6.3359
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.self_attn.k_proj,-0.0105,1.7485,-12.8750,11.7109
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.self_attn.v_proj,-0.0054,0.2186,-1.6523,1.2520
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.self_attn.o_proj,0.0001,0.0275,-0.6660,0.1848
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.post_attention_layernorm,-0.0026,0.2668,-9.5938,9.7266
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.mlp.gate_proj,-0.1858,0.2987,-2.7812,2.0137
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.mlp.up_proj,-0.0006,0.2101,-2.6621,2.4238
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.mlp.down_proj,0.0007,0.0456,-0.2230,0.9854
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.input_layernorm,-0.0012,0.4039,-6.0742,6.5156
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.self_attn.q_proj,0.0251,0.8744,-6.3516,5.8320
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.self_attn.k_proj,-0.0098,1.5975,-15.8906,8.9219
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.self_attn.v_proj,0.0019,0.2462,-1.8730,1.9600
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.self_attn.o_proj,0.0005,0.0263,-0.7007,0.1869
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.post_attention_layernorm,0.0009,0.2667,-9.5938,9.8047
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.mlp.gate_proj,-0.1939,0.3071,-2.7207,2.0078
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.mlp.up_proj,0.0003,0.2143,-3.6543,2.0918
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.mlp.down_proj,0.0003,0.0482,-0.1897,1.4395
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.input_layernorm,0.0011,0.4362,-6.5742,6.3906
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.self_attn.q_proj,-0.0127,0.9296,-6.3594,6.8984
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.self_attn.k_proj,-0.0389,1.6720,-12.9219,9.5938
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.self_attn.v_proj,0.0022,0.2321,-1.8066,1.1914
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.self_attn.o_proj,-0.0005,0.0255,-0.6777,0.1378
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.post_attention_layernorm,0.0002,0.2607,-8.4141,8.4766
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.mlp.gate_proj,-0.1944,0.2893,-2.8672,2.9824
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.mlp.up_proj,0.0001,0.2116,-2.6172,3.3633
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.mlp.down_proj,-0.0002,0.0485,-1.5664,1.6582
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.input_layernorm,0.0001,0.4304,-6.8438,7.0586
