type,name,pruned_on,sparsity,value
raw,Llama-3.1-8b-Instruct,None,0%,0.0000
pruned,Llama-3.1-8b-Instruct,AST,25pct,0.2174
pruned,Llama-3.1-8b-Instruct,AST,50pct,0.4347
pruned,Llama-3.1-8b-Instruct,FBT,25pct,0.2174
pruned,Llama-3.1-8b-Instruct,FBT,50pct,0.4347
pruned,Llama-3.1-8b-Instruct,FPR,25pct,0.2174
pruned,Llama-3.1-8b-Instruct,FPR,50pct,0.4347
pruned,Llama-3.1-8b-Instruct,HTT,25pct,0.2174
pruned,Llama-3.1-8b-Instruct,HTT,50pct,0.4347
pruned,Llama-3.1-8b-Instruct,PST,25pct,0.2174
pruned,Llama-3.1-8b-Instruct,PST,50pct,0.4347
pruned,Llama-3.1-8b-Instruct,SIT,25pct,0.2174
pruned,Llama-3.1-8b-Instruct,SIT,50pct,0.4347
pruned,Llama-3.1-8b-Instruct,SST,25pct,0.2174
pruned,Llama-3.1-8b-Instruct,SST,50pct,0.4347
pruned,Llama-3.1-8b-Instruct,UOT,25pct,0.2174
pruned,Llama-3.1-8b-Instruct,UOT,50pct,0.4347
raw,Llama-3.2-3b-Instruct,None,0%,0.0000
pruned,Llama-3.2-3b-Instruct,AST,25pct,0.2193
pruned,Llama-3.2-3b-Instruct,AST,50pct,0.4387
pruned,Llama-3.2-3b-Instruct,FBT,25pct,0.2193
pruned,Llama-3.2-3b-Instruct,FBT,50pct,0.4387
pruned,Llama-3.2-3b-Instruct,FPR,25pct,0.2193
pruned,Llama-3.2-3b-Instruct,FPR,50pct,0.4387
pruned,Llama-3.2-3b-Instruct,HTT,25pct,0.2193
pruned,Llama-3.2-3b-Instruct,HTT,50pct,0.4387
pruned,Llama-3.2-3b-Instruct,PST,25pct,0.2193
pruned,Llama-3.2-3b-Instruct,PST,50pct,0.4387
pruned,Llama-3.2-3b-Instruct,SIT,25pct,0.2193
pruned,Llama-3.2-3b-Instruct,SIT,50pct,0.4387
pruned,Llama-3.2-3b-Instruct,SST,25pct,0.2193
pruned,Llama-3.2-3b-Instruct,SST,50pct,0.4387
pruned,Llama-3.2-3b-Instruct,UOT,25pct,0.2193
pruned,Llama-3.2-3b-Instruct,UOT,50pct,0.4387
