type,name,pruned_on,sparsity,layer,mean,std,min,max,l2_norm,total_params,nonzero_params
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.embed_tokens.weight,0.0000,0.0106,-0.1025,0.2480,240.9827,525336576,524244643
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.self_attn.q_proj.weight,0.0000,0.0187,-0.7461,0.6641,76.4564,16777216,12582912
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.self_attn.k_proj.weight,-0.0000,0.0269,-0.6445,0.6992,55.1544,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.self_attn.v_proj.weight,-0.0000,0.0072,-0.0610,0.0605,14.6691,4194304,3145727
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.self_attn.o_proj.weight,0.0000,0.0083,-0.3887,0.4629,33.7982,16777216,12582909
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.mlp.gate_proj.weight,0.0000,0.0128,-0.5977,0.4121,97.7366,58720256,44040192
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.mlp.up_proj.weight,-0.0000,0.0117,-0.1602,0.1963,89.5573,58720256,44040183
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.mlp.down_proj.weight,-0.0000,0.0117,-0.6133,0.6133,89.6310,58720256,44040190
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.input_layernorm.weight,0.0708,0.1214,-0.2109,1.0859,8.9945,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.post_attention_layernorm.weight,0.1338,0.0120,-0.0001,0.2344,8.5954,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.self_attn.q_proj.weight,-0.0000,0.0193,-0.5352,0.4746,79.1671,16777216,12582908
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.self_attn.k_proj.weight,0.0000,0.0274,-0.3555,0.3516,56.0578,4194304,3145726
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.self_attn.v_proj.weight,0.0000,0.0089,-0.0967,0.0771,18.2067,4194304,3145727
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.self_attn.o_proj.weight,-0.0000,0.0094,-0.3926,0.4141,38.6942,16777216,12582912
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.mlp.gate_proj.weight,0.0000,0.0129,-0.4512,0.5273,98.9886,58720256,44040175
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.mlp.up_proj.weight,0.0000,0.0119,-0.4629,0.4258,91.1399,58720256,44040192
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.mlp.down_proj.weight,-0.0000,0.0119,-0.6172,0.7070,90.9461,58720256,44040192
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.input_layernorm.weight,0.1052,0.0812,-0.0125,0.8906,8.5055,4096,4095
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.post_attention_layernorm.weight,0.1669,0.0222,-0.0001,0.2812,10.7730,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.self_attn.q_proj.weight,-0.0000,0.0186,-0.2617,0.2539,76.3562,16777216,12582904
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.self_attn.k_proj.weight,-0.0000,0.0279,-0.3145,0.3496,57.2204,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.self_attn.v_proj.weight,-0.0000,0.0074,-0.0503,0.0586,15.0748,4194304,3145727
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.self_attn.o_proj.weight,0.0000,0.0087,-0.3398,0.3457,35.7071,16777216,12582911
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.mlp.gate_proj.weight,-0.0000,0.0132,-0.2734,0.3242,101.4200,58720256,44040187
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.mlp.up_proj.weight,-0.0000,0.0118,-0.2480,0.2471,90.7236,58720256,44040188
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.mlp.down_proj.weight,0.0000,0.0119,-0.6055,0.4160,91.0309,58720256,44040188
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.input_layernorm.weight,0.3053,0.0984,-0.0012,0.8438,20.5290,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.post_attention_layernorm.weight,0.2082,0.0296,-0.0001,0.2295,13.4585,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.self_attn.q_proj.weight,-0.0000,0.0187,-0.2188,0.2100,76.6037,16777216,12582911
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.self_attn.k_proj.weight,-0.0000,0.0279,-0.2734,0.2832,57.0541,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.self_attn.v_proj.weight,-0.0000,0.0087,-0.0918,0.1357,17.7408,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.self_attn.o_proj.weight,0.0000,0.0099,-0.3770,0.3008,40.5535,16777216,12582907
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.mlp.gate_proj.weight,-0.0000,0.0139,-0.3711,0.5078,106.8425,58720256,44040173
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.mlp.up_proj.weight,0.0000,0.0116,-0.2266,0.2754,89.2913,58720256,44040168
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.mlp.down_proj.weight,-0.0000,0.0116,-0.5469,0.3906,89.0290,58720256,44040190
