model_type,model_name,pruned_on,sparsity,layer_index,total_params,nonzero_params,fraction_pruned,fraction_remaining
raw,Llama-3.1-8b-Instruct,None,0%,0,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,1,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,2,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,3,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,4,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,5,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,6,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,7,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,8,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,9,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,10,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,11,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,12,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,13,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,14,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,15,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,16,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,17,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,18,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,19,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,20,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,21,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,22,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,23,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,24,218112000,218112000,0.0000,1.0000
raw,Llama-3.1-8b-Instruct,None,0%,25,218112000,218112000,0.0000,1.0000
