type,name,pruned_on,sparsity,module,activation_diff
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.embed_tokens,0.9391
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.input_layernorm,11.6634
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.self_attn.q_proj,26.8146
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.self_attn.k_proj,22.1649
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.self_attn.v_proj,1.7426
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.self_attn.o_proj,0.4911
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.post_attention_layernorm,10.0841
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.mlp.gate_proj,19.4655
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.mlp.up_proj,15.3345
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.0.mlp.down_proj,0.9755
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.input_layernorm,8.1423
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.self_attn.q_proj,16.4832
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.self_attn.k_proj,16.0449
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.self_attn.v_proj,1.7292
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.self_attn.o_proj,0.3522
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.post_attention_layernorm,10.5472
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.mlp.gate_proj,16.6786
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.mlp.up_proj,15.5643
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.1.mlp.down_proj,1.0813
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.input_layernorm,23.9364
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.self_attn.q_proj,38.5728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.self_attn.k_proj,25.8005
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.self_attn.v_proj,4.6544
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.self_attn.o_proj,0.1587
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.post_attention_layernorm,13.8381
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.mlp.gate_proj,22.3344
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.mlp.up_proj,19.9796
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.2.mlp.down_proj,1.5391
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.input_layernorm,23.9693
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.self_attn.q_proj,31.3737
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.self_attn.k_proj,27.4548
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.self_attn.v_proj,7.2896
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.self_attn.o_proj,0.5750
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.post_attention_layernorm,14.4852
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.mlp.gate_proj,24.4193
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.mlp.up_proj,20.3122
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.mlp.down_proj,1.8408
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.input_layernorm,21.9833
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.self_attn.q_proj,31.6359
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.self_attn.k_proj,29.0617
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.self_attn.v_proj,6.5450
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.self_attn.o_proj,1.0269
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.post_attention_layernorm,15.0854
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.mlp.gate_proj,28.3855
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.mlp.up_proj,20.8640
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.mlp.down_proj,2.4144
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.input_layernorm,25.7452
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.self_attn.q_proj,40.1072
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.self_attn.k_proj,28.9940
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.self_attn.v_proj,5.8440
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.self_attn.o_proj,0.9764
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.post_attention_layernorm,15.5362
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.mlp.gate_proj,27.8112
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.mlp.up_proj,21.1011
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.mlp.down_proj,2.8097
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.input_layernorm,23.1703
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.self_attn.q_proj,32.9383
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.self_attn.k_proj,29.2533
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.self_attn.v_proj,5.8960
